0,9% Sodium Chloride-BRAUN;Natrii chloridum;9 mg/ml;roztwór do infuzji;08754;Bezterminowe;B. Braun Melsungen AG;NAR;B05CB01
Amoksiklav;Amoxicillinum + Acidum clavulanicum;250 mg + 125 mg;tabletki powlekane;00771;Bezterminowe;Sandoz GmbH;NAR;J01CR02
Amoksiklav;Amoxicillinum + Acidum clavulanicum;500 mg + 125 mg;tabletki powlekane;00819;Bezterminowe;Sandoz GmbH;NAR;J01CR02
Amoksiklav;Amoxicillinum + Acidum clavulanicum;875 mg + 125 mg;tabletki powlekane;04111;Bezterminowe;Sandoz GmbH;NAR;J01CR02
Amoksiklav;Amoxicillinum + Acidum clavulanicum;875 mg + 125 mg;tabletki powlekane;694/15;2020-10-20;Delfarma Sp. z o.o.;IR;J01CR02
Amoksiklav;Amoxicillinum + Acidum clavulanicum;875 mg + 125 mg;tabletki powlekane;779/15;2020-11-19;InPharm Sp. z o.o.;IR;J01CR02
Amoksiklav;Amoxicillinum + Acidum clavulanicum;875 mg + 125 mg;tabletki powlekane;92/17;2022-03-22;PharmaVitae Sp. z o.o. sp.k.;IR;J01CR02
Amoksiklav;Amoxicillinum + Acidum clavulanicum;875 mg + 125 mg;tabletki powlekane;379/17;2022-11-24;Forfarm Sp. z o.o.;IR;J01CR02
Amoksiklav Quicktab 1000 mg;Amoxicillinum + Acidum clavulanicum;875 mg + 125 mg;tabletki do sporządzania zawiesiny doustnej / tabletki ulegające rozpadowi w jamie ustnej;14681;Bezterminowe;Lek Pharmaceuticals d.d.;NAR;J01CR02
Amoksiklav Quicktab 625 mg;Amoxicillinum + Acidum clavulanicum;500 mg + 125 mg;tabletki do sporządzania zawiesiny doustnej / tabletki ulegające rozpadowi w jamie ustnej;14619;Bezterminowe;Sandoz GmbH;NAR;J01CR02
Amol;Produkt złożony;-;płyn doustny, płyn na skórę;00064;Bezterminowe;Takeda Pharma Sp. z o.o.;NAR;A09A
Amorolak;Amorolfinum;50 mg/ml;lakier do paznokci leczniczy;21149;2018-04-22;Sun-Farm Sp. z o.o.;DCP;D01AE16
Amorolfine Pierre Fabre;Amorolfinum;50 mg/ml;lakier do paznokci leczniczy;18263;Bezterminowe;Medana Pharma S.A.;DCP;D01AE16
Amotaks;Amoxicillinum;500 mg/5 ml;granulat do sporządzania zawiesiny doustnej;17011;Bezterminowe;"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";NAR;J01CA04
Amotaks;Amoxicillinum;500 mg;kapsułki twarde;06915;Bezterminowe;"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";NAR;J01CA04
Amotaks;Amoxicillinum;1 g;tabletki;06913;Bezterminowe;"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";NAR;J01CA04
Amotaks Dis;Amoxicillinum;500 mg;tabletki;10435;Bezterminowe;"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";NAR;J01CA04
Amotaks Dis;Amoxicillinum;750 mg;tabletki;10436;Bezterminowe;"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";NAR;J01CA04
Amotaks Dis;Amoxicillinum;1 g;tabletki;10437;Bezterminowe;"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";NAR;J01CA04
Amoxicillin MIP Pharma;Amoxicillinum;50 mg/ml;proszek do sporządzania zawiesiny doustnej;20203;2015-12-31;MIP Pharma GmbH;DCP;J01CA04
Amoxicillin MIP Pharma;Amoxicillinum;500 mg;tabletki;20090;Bezterminowe;MIP Pharma GmbH;DCP;J01CA04
Amoxicillin MIP Pharma;Amoxicillinum;1000 mg;tabletki;20092;Bezterminowe;MIP Pharma GmbH;DCP;J01CA04
Amoxicillin/Clavulanic Acid Kabi;Amoxicillinum + Acidum clavulanicum;2000 mg + 200 mg;proszek do sporządzania roztworu do infuzji;21918;2019-06-11;Fresenius Kabi Polska Sp. z o.o.;DCP;J01CR02
Amoxicillin/Clavulanic Acid Kabi;Amoxicillinum + Acidum clavulanicum;1000 mg + 200 mg;proszek do sporządzania roztworu do wstrzykiwań i infuzji;21917;2019-06-11;Fresenius Kabi Polska Sp. z o.o.;DCP;J01CR02
Amoxicillin-1A Pharma;Amoxicillinum;250 mg/5 ml;proszek do sporządzania zawiesiny doustnej;16843;2016-05-18;1A Pharma GmbH;DCP;J01CA04
Amoxicillin-1A Pharma;Amoxicillinum;500 mg/5 ml;proszek do sporządzania zawiesiny doustnej;16842;2016-05-18;1A Pharma GmbH;DCP;J01CA04
Amoxicillin-1A Pharma;Amoxicillinum;500 mg;tabletki powlekane;16718;2016-04-11;1A Pharma GmbH;DCP;J01CA04
Amoxicillin-1A Pharma;Amoxicillinum;750 mg;tabletki powlekane;16719;2016-04-11;1A Pharma GmbH;DCP;J01CA04
Amoxicillin-1A Pharma;Amoxicillinum;1000 mg;tabletki powlekane;16720;2016-04-11;1A Pharma GmbH;DCP;J01CA04
Ampicillin + Sulbactam Mylan;Ampicillinum + Sulbactamum;1 g + 0,5 g;proszek do sporządzania roztworu do wstrzykiwań lub infuzji;22700;2016-07-29;Mylan S.A.S.;DCP;J01CR01
Ampicillin + Sulbactam Mylan  ;Ampicillinum + Sulbactamum;2 g + 1 g;proszek do sporządzania roztworu do wstrzykiwań lub infuzji;22701;2016-07-29;Mylan S.A.S.;DCP;J01CR01
Ampicillin Mylan;Ampicillinum natricum;250 mg;proszek do sporządzania roztworu do wstrzykiwań lub infuzji;22695;2016-07-29;Mylan S.A.S.;DCP;J01CA01
Ampicillin Mylan;Ampicillinum natricum;500 mg;proszek do sporządzania roztworu do wstrzykiwań lub infuzji;22696;2016-07-29;Mylan S.A.S.;DCP;J01CA01
Ampicillin Mylan;Ampicillinum natricum;1 g;proszek do sporządzania roztworu do wstrzykiwań lub infuzji;22697;2016-07-29;Mylan S.A.S.;DCP;J01CA01
Ampicillin Mylan;Ampicillinum natricum;2 g;proszek do sporządzania roztworu do wstrzykiwań lub infuzji;22698;2016-07-29;Mylan S.A.S.;DCP;J01CA01
Ampicillin TZF;Ampicillinum;500 mg;proszek do sporządzania roztworu do wstrzykiwań;03430;Bezterminowe;"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";NAR;J01CA01
Ampicillin TZF;Ampicillinum;1 g;proszek do sporządzania roztworu do wstrzykiwań;03431;Bezterminowe;"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";NAR;J01CA01
Ampicillin TZF;Ampicillinum;2 g;proszek do sporządzania roztworu do wstrzykiwań;03754;Bezterminowe;"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";NAR;J01CA01
Ampres;Chloroprocaini hydrochloridum;10 mg/ml;roztwór do wstrzykiwań;20472;Bezterminowe;L.Molteni & C. dei F.lii Alitti Societa di Esercizio S.p.A.;DCP;N01BA04
Ampril 10 mg tabletki;Ramiprilum;10 mg;tabletki;12097;Bezterminowe;Krka, d.d., Novo mesto;MRP;C09AA05
Ampril 10 mg tabletki;Ramiprilum;10 mg;tabletki;477/16;2021-12-22;Delfarma Sp. z o.o.;IR;C09AA05
Ampril 10 mg tabletki;Ramiprilum;10 mg;tabletki;240/17;2022-08-03;InPharm Sp. z o.o.;IR;C09AA05
Ampril 10 mg tabletki;Ramiprilum;10 mg;tabletki;304/17;2022-09-15;Forfarm Sp. z o.o.;IR;C09AA05
Ampril 2,5 mg tabletki;Ramiprilum;2,5 mg;tabletki;12095;Bezterminowe;Krka, d.d., Novo mesto;MRP;C09AA05
Ampril 5 mg tabletki;Ramiprilum;5 mg;tabletki;12096;Bezterminowe;Krka, d.d., Novo mesto;MRP;C09AA05
Ampril HD;Ramiprilum + Hydrochlorothiazidum;5 mg + 25 mg;tabletki;12141;Bezterminowe;Krka, d.d., Novo mesto;MRP;C09BA05
Ampril HL;Ramiprilum + Hydrochlorothiazidum;2,5 mg + 12,5 mg;tabletki;12140;Bezterminowe;Krka, d.d., Novo mesto;MRP;C09BA05
Amrap;Ramiprilum + Amlodipinum;2,5 mg + 5 mg;kapsułki twarde;22122;2019-10-06;Sanofi-Aventis Sp. z o.o.;DCP;C09BB07
Amrap;Ramiprilum + Amlodipinum;5 mg + 5 mg;kapsułki twarde;22123;2019-10-07;Sanofi-Aventis Sp. z o.o.;DCP;C09BB07
Amrap;Ramiprilum + Amlodipinum;10 mg + 5 mg;kapsułki twarde;22124;2019-10-06;Sanofi-Aventis Sp. z o.o.;DCP;C09BB07
Amrap;Ramiprilum + Amlodipinum;5 mg + 10 mg;kapsułki twarde;22125;2019-10-06;Sanofi-Aventis Sp. z o.o.;DCP;C09BB07
Amrap;Amlodipinum + Ramiprilum;10 mg + 10 mg;kapsułki twarde;22126;2019-10-06;Sanofi-Aventis Sp. z o.o.;DCP;C09BB07
Amsidyl;Amsacrinum;75 mg/1,5 ml;koncentrat i rozpuszczalnik do sporządzania roztworu do infuzji;23525;2021-11-02;NordMedica A/S;DCP;L01XX01
Amsulgen;Amisulpridum;100 mg;tabletki;22283;2020-02-12;Generics [UK] Ltd.;DCP;N05AL05
Amsulgen;Amisulpridum;200 mg;tabletki;22284;2020-02-12;Generics [UK] Ltd.;DCP;N05AL05
Amsulgen;Amisulpridum;400 mg;tabletki powlekane;22285;2020-02-12;Generics [UK] Ltd.;DCP;N05AL05
Amunodin;Ambroxoli hydrochloridum;30 mg;tabletki;03736;Bezterminowe;Aflofarm Farmacja Polska Sp. z o.o.;NAR;R05CB06
Amylan;Amoxicillinum + Acidum clavulanicum;500 mg + 125 mg;tabletki powlekane;23305;2021-07-03;Generics [UK] Ltd.;DCP;J01CR02
Amylan;Amoxicillinum + Acidum clavulanicum;875 mg + 125 mg;tabletki powlekane;23306;2021-07-03;Generics [UK] Ltd.;DCP;J01CR02
Amyvid;Florbetapirum (18F);800 MBq/ml;roztwór do wstrzykiwań;;;Eli Lilly Nederland B.V.;CEN;V09A05
Amyvid;Florbetapirum (18F);1900 MBq/ml;roztwór do wstrzykiwań;;;Eli Lilly Nederland B.V.;CEN;V09A05
Anacard medica protect;Acidum acetylsalicylicum;75 mg;tabletki dojelitowe;21231;2018-06-30;Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;NAR;B01AC06
Anacardium Orientale;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19291;Bezterminowe;Boiron SA;NAR;
Anafranil;Clomipramini hydrochloridum;10 mg;tabletki drażowane;660/11;2016-12-19;InPharm Sp. z o.o.;IR;N06AA04
Anafranil;Clomipramini hydrochloridum;25 mg;tabletki drażowane;692/11;2016-12-26;InPharm Sp. z o.o.;IR;N06AA04
Anafranil;Clomipramini hydrochloridum;10 mg;tabletki powlekane;02949;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;NAR;N06AA04
Anafranil;Clomipramini hydrochloridum;25 mg;tabletki powlekane;02950;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;NAR;N06AA04
Anafranil SR 75;Clomipramini hydrochloridum;75 mg;tabletki powlekane o przedłużonym uwalnianiu;02951;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;NAR;N06AA04
Anagallis Arvensis;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19187;Bezterminowe;Boiron SA;NAR;
Anagrelide Accord;Anagrelidum;0,5 mg ;kapsułki twarde;24506;2023-01-11;Accord Healthcare Limited;DCP;L01XX35
Anagrelide Accord;Anagrelidum;1 mg ;kapsułki twarde;24507;2023-01-11;Accord Healthcare Limited;DCP;L01XX35
Anagrelide Glenmark;Anagrelidum;0,5 mg;kapsułki twarde;24522;2023-01-17;Glenmark Pharmaceuticals s.r.o.;DCP;L01XX35
Anagrelide Mylan;Anagrelidum;0,5 mg;kapsułka twarda;;;Mylan S.A.S.;CEN;L01XX35
Anagrelide Mylan;Anagrelidum;1 mg;kapsułka twarda;;;Mylan S.A.S.;CEN;L01XX35
Anagrelide Ranbaxy;Anagrelidum;0,5 mg ;kapsułki twarde;24568;2023-02-21;Ranbaxy (Poland) Sp. z o.o.;DCP;L01XX35
Anagrelide Sandoz;Anagrelidum;0,5 mg ;kapsułki twarde;24525;2023-01-18;Sandoz GmbH;DCP;L01XX35
Anagrelide Stada;Anagrelidum;0,5 mg;kapsułki twarde;24400;2022-11-27;STADA Arzneimittel AG;DCP;L01XX35
Anagrelide Stada;Anagrelidum;1 mg;kapsułki twarde;24399;2022-11-27;STADA Arzneimittel AG;DCP;L01XX35
Anagrelide Vipharm;Anagrelidum;0,5 mg;kapsułki twarde;24397;2022-11-27;Vipharm S.A.;DCP;L01XX35
Anagrelide Vipharm;Anagrelidum;1 mg;kapsułki twarde;24398;2022-11-27;Vipharm S.A.;DCP;L01XX35
Anagrelide Zentiva;Anagrelidum;0,5 mg ;kapsułki twarde;24448;2022-12-12;Zentiva, k.s.;DCP;L01XX35
Analgol;Preparat złożony;-;maść;02701;Bezterminowe;"Przedsiębiorstwo Produkcji Farmaceutyczno-Kosmetycznej ""PROFARM"" Sp. z o.o.";NAR;
Analgolan;Methylis salicylas + Camphora + Pini aetheroleum + Terebinthini aetheroleum;(100 mg + 10 mg + 5 mg + 5 mg)/g;maść;02702;Bezterminowe;"Przedsiębiorstwo Produkcji Farmaceutyczno-Kosmetycznej ""PROFARM"" Sp. z o.o.";NAR;M02AX
Anapen;Epinephrinum;300 mcg/0,3 ml;roztwór do wstrzykiwań;11389;Bezterminowe;Lincoln Medical Limited;MRP;C01CA24
Anapen Junior;Epinephrinum;150 mcg/0,3 ml;roztwór do wstrzykiwań;11385;Bezterminowe;Lincoln Medical Limited;MRP;C01CA24
Anapran;Naproxenum natricum;275 mg;tabletki powlekane;01321;Bezterminowe;Pabianickie Zakłady Farmaceutyczne Polfa S.A.;NAR;M01AE02
Anapran;Naproxenum natricum;550 mg;tabletki powlekane;01322;Bezterminowe;Pabianickie Zakłady Farmaceutyczne Polfa S.A.;NAR;M01AE02
Anapran EC;Naproxenum;250 mg;tabletki dojelitowe;21048;2018-03-11;Adamed Sp. z o.o.;DCP;M01AE02
Anapran EC;Naproxenum;500 mg;tabletki dojelitowe;21049;2018-03-11;Adamed Sp. z o.o.;DCP;M01AE02
Anapran neo;Naproxenum natricum;220 mg;tabletki powlekane;09067;Bezterminowe;Pabianickie Zakłady Farmaceutyczne Polfa S.A.;NAR;M01AE02
Anastralan;Anastrozolum;1 mg;tabletki powlekane;14981;2015-10-19;PharmaSwiss Ceska Republika s.r.o.;DCP;L02BG03
Anastrin;Anastrozolum;1 mg;tabletki powlekane;16710;2015-04-12;Adamed Sp. z o.o.;NAR;L02BG03
Anastrozol Bluefish;Anastrozolum;1 mg;tabletki powlekane;17141;Bezterminowe;Bluefish Pharmaceuticals AB;DCP;L02BG03
Anastrozol Dr. Max;Anastrozolum;1 mg;tabletki powlekane;21179;2018-05-12;J. Uriach y Compania S.A.;MRP;L02BG03
Anastrozol medac;Anastrozolum;1 mg;tabletki powlekane;16891;2017-12-07;medac Gesellschaft fur klinische Specialpraparate mbH;DCP;L02BG03
Anastrozol Synthon 1 mg;Anastrozolum;1 mg;tabletki powlekane;16841;2015-04-02;Synthon B.V.;DCP;L02BG03
Anastrozol Teva;Anastrozolum;1 mg;tabletki powlekane;14257;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;DCP;L02BG03
Anastrozol Teva;Anastrozolum;1 mg;tabletki powlekane;788/15;2020-11-26;Delfarma Sp. z o.o.;IR;L02BG03
Anastrozol Teva;Anastrozolum;1 mg;tabletki powlekane;391/16;2021-08-29;InPharm Sp. z o.o.;IR;L02BG03
Anastrozol Teva;Anastrozolum;1 mg;tabletki powlekane;103/17;2022-03-30;Delfarma Sp. z o.o.;IR;L02BG03
Anbinex;Antithrombinum III humanum densatum cryodesiccatum;500 j.m.;proszek i rozpuszczalnik do sporządzania roztworu do infuzji;09405;Bezterminowe;Instituto Grifols S.A.;NAR;B01AB02
Anbinex;Antithrombinum III humanum densatum cryodesiccatum;1000 j.m.;proszek i rozpuszczalnik do sporządzania roztworu do infuzji;09406;Bezterminowe;Instituto Grifols S.A.;NAR;B01AB02
Ancotil;Flucitosinum;10 mg/ml;roztwór do infuzji;03357;Bezterminowe;PharmaSwiss Ceska Republika s.r.o.;NAR;J02AX01
Andepin;Fluoxetinum;20 mg;kapsułki twarde;10655;Bezterminowe;"Przedsiębiorstwo Farmaceutyczno-Chemiczne ""Synteza"" Sp. z o.o.";NAR;N06AB03
Androcur;Cyproteroni acetas;50 mg;tabletki;02221;Bezterminowe;Bayer AG;NAR;G03HA01
Androstatin;Finasteridum;1 mg;tabletki powlekane;11276;Bezterminowe;Przedsiębiorstwo Farmaceutyczne LEK-AM Sp. z o.o.;NAR;D11AX10
Androster;Finasteridum;5 mg;tabletki powlekane;12988;Bezterminowe;Actavis Group PTC ehf.;MRP;G04CB01
Androtop;Testosteronum;25 mg/2,5 g;żel;12266;Bezterminowe;Laboratoires Besins International;MRP;G03BA03
Androtop;Testosteronum;50 mg/5 g;żel;12267;Bezterminowe;Laboratoires Besins International;MRP;G03BA03
Androtop;Testosteronum;16,2 mg/g;żel;23380;2021-08-25;Besins Healthcare S.A.;DCP;G03BA03
Aneea;Drospirenonum + Ethinylestradiolum;3 mg + 0,02 mg;tabletki powlekane;18265;Bezterminowe;Gedeon Richter Polska Sp. z o.o.;DCP;G03AA12
Aneptinex;Tianeptinum natricum;12,5 mg;tabletki powlekane;18131;Bezterminowe;PharmaSwiss Ceska Republika s.r.o.;DCP;N06AX14
Anesderm;Prilocainum + Lidocainum;(25 mg + 25 mg)/g;krem;17998;Bezterminowe;Pierre Fabre Dermatologie;DCP;N01BB52
Anesteloc;Pantoprazolum;20 mg;tabletki dojelitowe;12429;Bezterminowe;Adamed Sp. z o.o.;NAR;A02BC02
Anesteloc 40 mg;Pantoprazolum;40 mg;tabletki dojelitowe;12430;Bezterminowe;Adamed Sp. z o.o.;NAR;A02BC02
Anesteloc Max;Pantoprazolum;20 mg;tabletki dojelitowe;15949;Bezterminowe;Adamed Sp. z o.o.;DCP;A02BC02
Anexate;Flumazenilum;100 mcg/ml;roztwór do wstrzykiwań;00962;2016-06-30;Roche Polska Sp. z o.o.;NAR;V03AB25
Angedil;Nicorandilum;10 mg;tabletki;18991;2016-11-29;Egis Pharmaceuticals PLC;DCP;C01DX16
Angedil;Nicorandilum;20 mg;tabletki;18992;2016-11-29;Egis Pharmaceuticals PLC;DCP;C01DX16
Angeliq;Estradiolum + Drospirenonum;1 mg + 2 mg;tabletki powlekane;11478;Bezterminowe;Bayer AG;MRP;G03FA01
Angeliq;Estradiolum + Drospirenonum;1 mg + 2 mg;tabletki powlekane;81/10;2015-06-08;Delfarma Sp. z o.o.;IR;G03FA
Angeliq;Estradiolum + Drospirenonum;1 mg + 2 mg;tabletki powlekane;198/11;2016-06-06;InPharm Sp. z o.o.;IR;G03FA01
Angiletta;Chlormadinoni acetas + Ethinylestradiolum;2 mg + 0,03 mg;tabletki powlekane;20601;2017-10-01;Actavis Group PTC ehf.;DCP;G03AA16
Angin - Heel SD;Preparat homeopatyczny;-;tabletki;IL-3997/LNH;Bezterminowe;Biologische Heilmittel Heel GmbH;NAR;
Angioton;Telmisartanum;20 mg;tabletki;20207;2017-06-05;M.R. Pharma GmbH;DCP;C09CA07
Angioton;Telmisartanum;40 mg;tabletki;20208;2017-06-05;M.R. Pharma GmbH;DCP;C09CA07
Angioton;Telmisartanum;80 mg;tabletki;20209;2017-06-05;M.R. Pharma GmbH;DCP;C09CA07
Angiox;Bivalirudinum;250 mg;proszek do sporządzania koncentratu roztworu do wstrzykiwań lub infuzji;;;The Medicines Company UK Ltd;CEN;B01AE06
Anoro;Umeclidinium + Vilanterolum;55 mcg + 22 mcg;proszek do inhalacji, podzielony;;;Glaxo Group Limited;CEN;R03AL03
Anozilad;Linezolidum;2 mg/ml;roztwór do infuzji;23237;2021-05-24;Actavis Group PTC ehf.;DCP;J01XX08
Anozilad;Linezolidum;600 mg;tabletki powlekane;21893;2019-06-02;Actavis Group PTC ehf.;DCP;J01XX08
Ansyn;Anastrozolum;1 mg;tabletki powlekane;14367;Bezterminowe;Actavis Group PTC ehf.;DCP;L02BG03
Anticol;Disulfiramum;500 mg;tabletki;02441;Bezterminowe;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;NAR;N07BB01
Antidol 15;Paracetamolum + Codeini phosphas;500 mg + 15 mg;tabletki;09699;Bezterminowe;Sandoz GmbH;NAR;N02BE51
Antidral;Aluminii chloridum;100 mg/g;płyn na skórę;01261;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;NAR;D03AX
Antimonium Arsenicosum;Homeopatyczny produkt leczniczy;4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19250;Bezterminowe;Boiron SA;NAR;
Antimonium Crudum;Homeopatyczny produkt leczniczy;4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19326;Bezterminowe;Boiron SA;NAR;
Antimonium Tartaricum;Homeopatyczny produkt leczniczy;4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19153;Bezterminowe;Boiron SA;NAR;
Antinervinum;Valerianae tinctura + Crataegi tinctura + Lupuli strobili tinctura;(1032 mg + 903 mg + 645 mg)/5 ml;syrop;09050;Bezterminowe;Prowincja Polska Zakonu Szpitalnego św. Jana Bożego pw. Zwiastowania NMP;NAR;N05CM09
Antiprost;Finasteridum;5 mg;tabletki powlekane;14065;Bezterminowe;Orion Corporation;MRP;G04CB01
Antithrombin III NF Shire;Antithrombinum III humanum densatum;"50 j.m./ml; 500 j.m.";proszek i rozpuszczalnik do sporządzania roztworu do infuzji;03024;Bezterminowe;Shire Polska Sp. z o.o.;NAR;B01AB02
Antithrombin III NF Shire;Antithrombinum III humanum densatum;50 j.m./ml;proszek i rozpuszczalnik do sporządzania roztworu do infuzji;03025;Bezterminowe;Shire Polska Sp. z o.o.;NAR;B01AB02
Antrend 15 mg;Meloxicamum;15 mg;tabletki;14840;Bezterminowe;Nord Farm Sp. z o.o.;DCP;M01AC06
Antygrypin;Acidum acetylsalicylicum + Acidum ascorbicum + Coffeinum;500 mg + 150 mg + 50 mg;tabletki musujące;10248;Bezterminowe;N.P. Pharma Sp. z o.o.;NAR;N02BA51
Antypot;Acidum boricum + Acidum salicylicum;(100 mg + 10 mg)/g;puder;01694;Bezterminowe;"Zakład Produkcyjno-Usługowy ""Farko"" s.c.";NAR;
Antytoksyna botulinowa A B E;Immunoserum botulinicum;500 j.m. antytoksyny botulinowej typu A, 500 j.m. antytoksyny botulinowej typu B i 100 j.m. antytoksyny botulinowej typu E/ml;roztwór do wstrzykiwań;00530;2019-08-07;Wytwórnia Surowic i Szczepionek Biomed Sp. z o.o.;NAR;J06AA04
Antytoksyna jadu żmij;Immunoserum contra venena viperarum europaearum;około 150 j.a. antytoksyny jadu żmij/ml;roztwór do wstrzykiwań;00286;2019-06-15;Wytwórnia Surowic i Szczepionek Biomed Sp. z o.o.;NAR;J06AA03
Anzorin;Olanzapinum;5 mg;tabletka ulegająca rozpadowi w jamie ustnej;17151;Bezterminowe;Orion Corporation;MRP;N05AH03
Anzorin;Olanzapinum;10 mg;tabletki ulegające rozpadowi w jamie ustnej;17152;Bezterminowe;Orion Corporation;MRP;N05AH03
Anzorin;Olanzapinum;15 mg;tabletki ulegające rozpadowi w jamie ustnej;17153;Bezterminowe;Orion Corporation;MRP;N05AH03
Anzorin;Olanzapinum;20 mg;tabletki ulegające rozpadowi w jamie ustnej;17154;Bezterminowe;Orion Corporation;MRP;N05AH03
Apap;Paracetamolum;500 mg;tabletki powlekane;02960;Bezterminowe;US Pharmacia Sp. z o.o.;NAR;N02BE01
APAP 325 mg;Paracetamolum;325 mg;tabletki powlekane;22883;2020-12-14;US Pharmacia Sp. z o.o.;NAR;N02BE01
Apap ból i gorączka;Paracetamolum;500 mg;tabletki musujące;17614;Bezterminowe;US Pharmacia Sp. z o.o.;DCP;N02BE01
Apap ból i gorączka C plus;Paracetamolum + Acidum ascorbicum;500 mg + 300 mg;tabletki musujące;10049;Bezterminowe;US Pharmacia Sp. z o.o.;NAR;N02BE51
Apap Direct;Paracetamolum;500 mg;granulat;18597;Bezterminowe;US Pharmacia Sp. z o.o.;DCP;N02BE01
Apap Direct Max;Paracetamolum;1000 mg;granulat;18598;Bezterminowe;US Pharmacia Sp. z o.o.;DCP;N02BE01
APAP dla dzieci FORTE;Paracetamolum;40 mg/ml;zawiesina doustna;21719;2019-02-27;US Pharmacia Sp. z o.o.;DCP;N02BE01
Apap Extra;Paracetamolum  + Coffeinum;500 mg + 65 mg;tabletki powlekane;11071;Bezterminowe;US Pharmacia Sp. z o.o.;NAR;N02BE51
Apap Junior;Paracetamolum;250 mg;granulat;18596;Bezterminowe;US Pharmacia Sp. z o.o.;DCP;N02BE01
Apap NBG;Paracetamolum + Coffeinum;500 mg + 50 mg;tabletki;23650;2021-12-29;US Pharmacia Sp. z o.o.;NAR;N02BE51
Apap Noc;Paracetamolum + Diphenhydraminum;500 mg + 25 mg;tabletki powlekane;09601;Bezterminowe;US Pharmacia Sp. z o.o.;NAR;N02BE71
Apap przeziębienie;Paracetamolum + Acidum ascorbicum + Phenylephrini hydrochloridum;(650 mg + 50 mg + 10 mg)/sasz.;proszek do sporządzania roztworu doustnego;11154;Bezterminowe;US Pharmacia Sp. z o.o.;NAR;N02BE51
Apap Przeziębienie CAPS;Paracetamolum + Phenylephrini hydrochloridum;500 mg + 6,1 mg;kapsułki twarde;20972;2018-02-18;US Pharmacia Sp. z o.o.;NAR;N02BE51
Aparxon PR;Ropinirolum;8 mg;tabletki o przedłużonym uwalnianiu;18382;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;DCP;N04BC04
Aparxon PR;Ropinirolum;2 mg;tabletki o przedłużonym uwalnianiu;18380;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;DCP;N04BC04
Aparxon PR;Ropinirolum;4 mg;tabletki o przedłużonym uwalnianiu;18381;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;DCP;N04BC04
Aperisan;Salviae folii extractum;20%;żel do stosowania w jamie ustnej;20774;Bezterminowe;Dentinox Gesellschaft fuer pharmazeutische Praeparate Lenk & Schuppan;NAR;
Aphtin;Natrii tetraboras;200 mg/g;płyn do stosowania w jamie ustnej;02698;Bezterminowe;Farmina Sp. z o.o.;NAR;
Aphtin;Natrii tetraboras;200 mg/g;płyn do stosowania w jamie ustnej;02238;Bezterminowe;PPH MICROFARM Kacperski i wspólnicy Spółka jawna;NAR;
Aphtin;Natrii tetraboras;200 mg/g;płyn do stosowania w jamie ustnej;01598;Bezterminowe;"Przedsiębiorstwo Farmaceutyczne ""Prolab"" Sp.z o.o.";NAR;
Aphtin;Natrii tetraboras;200 mg/g;roztwór do stosowania w jamie ustnej;02590;Bezterminowe;Laboratorium Galenowe Olsztyn Sp. z o.o.;NAR;
